#APID R_ap N_stars N_bg Flag Best_method int_logAge_E int_logAge_p16 int_logAge_p84 int_logMass_E int_logMass_p16 int_logMass_p84 int_Av_E int_Av_p16 int_Av_p84 cmd_logAge_best cmd_logAge_p16 cmd_logAge_p84 cmd_logMass_best cmd_logMass_p16 cmd_logMass_p84 cmd_Av_best cmd_Av_p16 cmd_Av_p84 C11_Age_Gyr C11_logMass C11_E(B-V) C11_Z C11_SigmaZ 
             72            1.92           293.0           179.0             MAY               M   8.73235059345   8.64427505432   8.81745558219   4.03180173793   3.97296444102   4.08969919345  0.663941319581  0.517056074902  0.799895785893             8.1             8.0             8.2   3.97203449115   3.91186935874   3.97219021972             1.5             1.3             1.5             0.0             0.0             0.0             0.0             0.0
             74            1.43           134.0            67.0             MAY               M   7.65921111619   6.75944374776   8.57312096699   3.13376286329   2.94306149395   3.34711354822   1.03571659878  0.330726553482   1.66074443886             8.1             7.8             8.1   3.37553124432    3.3133381869   3.39449959332            1.55            1.55            1.75             0.0             0.0             0.0             0.0             0.0
             77            3.01           681.0           430.0               B               I    9.1139310665   8.98806464646   9.22330399324    4.1794451002   4.10605513172   4.24873311965  0.181876029251 0.0356117984633  0.335958712258             9.0             9.0             9.0   4.11910602414   4.11889813759   4.17433381642             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0
             80            2.25           400.0           255.0               B               I    8.8576712816   8.74193015892   8.95346332443    3.7379441364    3.6626565085   3.80969467745  0.175550290931 0.0235831889938   0.33257802909             8.8             8.7             8.8   4.00249008426   4.00165605917   4.04194531206             0.3             0.3            0.65             0.0             0.0             0.0             0.0             0.0
             81            1.91           175.0            53.0               B               M   7.60638727474   7.39348561018   7.78094747769   3.29628220209   3.08245348023   3.46536261292  0.296552637021  0.163995616131  0.420671773164             7.3             7.2             7.4   3.50418624523   3.49320474435   3.50452516466             0.7            0.65             0.7             0.0             0.0             0.0             0.0             0.0
             83            1.71           253.0           187.0               B               I   8.36247698539   8.32181923311    8.5064775903   2.93609275871   2.90848383037   3.11017072145 0.0415032504467             0.0  0.131938594647             8.7   8.68585298417             8.7   3.57108238615   3.53414865975   3.60076719277             0.2            0.15             0.3             0.0             0.0             0.0             0.0             0.0
             84             1.8           269.0           152.0               B               M   8.35045986965   8.26556697564    8.4114995871   4.02793844527   3.95636994066   4.10196893438  0.669178016363  0.500567560288  0.863239599148             8.2             8.2             8.2   3.88367199767   3.88357708812   3.88396873465             0.9             0.9             0.9             0.0             0.0             0.0             0.0             0.0
             85            2.58           266.0            97.0               B               M   8.15379782777   8.07122132704   8.24760396546   3.61692637303   3.53674839746   3.70642693975  0.372009346642  0.174524523973  0.544001058783             8.0             8.0             8.0   3.64221655932   3.63684117359   3.65019673853             0.6             0.6            0.65             0.0             0.0             0.0             0.0             0.0
             86             2.0           237.0           139.0               B               M   8.13746504538   8.00728728033   8.24356237991   3.62398528937   3.50654321762   3.74790418459   1.09237585452  0.852610306419   1.38892842499             8.5             8.5             8.6   3.61146667839   3.58609069479   3.63114789299             0.5            0.35            0.55             0.0             0.0             0.0             0.0             0.0
             87             2.2           383.0           298.0             IAO               I   8.03077428436   7.92092698991   8.13868809868    3.7413679392   3.66203904033   3.81935935448    1.0923919756   0.90797566211   1.28259352334             8.6             8.6             8.7   3.59561738249   3.57547894622   3.62035686086            0.15             0.0            0.15             0.0             0.0             0.0             0.0             0.0
             88            2.59           519.0           259.0               B               M   8.10857935028   6.64621043121   9.57628362801   3.77635061077   2.59829664959   5.02989022322   1.44964554321  0.425419636781   2.47499310649             8.5             8.5             8.6   3.79071764957   3.76878086023   3.82155637261             0.6            0.45            0.65             0.0             0.0             0.0             0.0             0.0
             89            1.93           361.0           244.0               B               I   8.79977386633   8.76564386633   8.83405789908   3.59794340308   3.56381340308   3.63344923495             0.0             0.0         0.06826             8.8             8.8             8.8   4.10239405634   4.10232282117   4.13388952823             0.2  0.152341302533            0.25             0.0             0.0             0.0             0.0             0.0
             90            1.54           177.0            64.0               B               M   8.23996558959   8.05682138797   8.30666671774    3.7826935242   3.66627830016   3.90884126731   1.29929437452   1.12636548219   1.67631581114             8.3             8.3             8.3   3.75286576822   3.72398111499    3.7531194199            1.35            1.25            1.35             0.0             0.0             0.0             0.0             0.0
             91            2.21           339.0           319.0               B               M   7.51580888294   7.44101538474   7.59497932543   3.86133367668   3.81026403511   3.91698444352  0.182141437579 0.0883118635251  0.278818311268             7.5             7.3             7.7   3.43216716908   3.42160043346   3.44836606483             1.0            0.95             1.1             0.0             0.0             0.0             0.0             0.0
             93            2.18           336.0           254.0               B               M   8.05679269204   7.98519684563   8.13291481318   4.22557379119   4.16745713175   4.28331855159  0.813348936601  0.677803659103  0.945024808591             7.7             7.7             7.8   3.83437294034   3.83398980163   3.86567111597             1.2            1.15             1.2             0.0             0.0             0.0             0.0             0.0
             94            2.53           469.0           324.0             MAY               M   7.91653071545   7.80499473522   8.03878246768   4.07463698394   4.00801637132   4.15122076627  0.383048960498  0.198831406498  0.574659411944             7.2             7.1             7.3   3.74838389704     3.732168186   3.74855106402            0.95            0.95            0.95             0.0             0.0             0.0             0.0             0.0
             95            3.55          1117.0           738.0               B               M   8.73891841348   8.65780870562   8.81880638891   4.34707503333   4.29341670101   4.39832206639  0.208918092416 0.0512979780043  0.376840489969             8.5             8.5             8.5   4.34460343928   4.34406295404   4.34526318001            0.65            0.65            0.65             0.0             0.0             0.0             0.0             0.0
             96            2.73           551.0           428.0             MAY               M   8.63256811445   8.56067901806   8.69909206312   3.85984226986   3.81255219676   3.90334214487 0.0544429987225             0.0  0.155903757069             8.1             8.1             8.2   3.83810680597   3.83797396879    3.8594843552             0.7            0.65            0.75             0.0             0.0             0.0             0.0             0.0
             97            2.45           244.0           256.0             IAO               I   8.27556745736   8.18552381886    8.3794295091   4.09857171903   4.01975985754   4.18483389008   1.23840618826    1.0394669431   1.44082784917             8.9             8.8             8.9   4.00305743759   3.96458579171   4.04619784144             0.1            0.05            0.35             0.0             0.0             0.0             0.0             0.0
             98            2.18           422.0           319.0               B               M   7.33738474215    7.0708947336   8.06736380445   3.98756414346   3.83088545286   4.21466126655  0.947748683741  0.458509327604   1.23426784778             7.4             7.4             7.8   3.71767900054   3.69864142328   3.74223673755             1.3            1.15             1.3             0.0             0.0             0.0             0.0             0.0
             99             1.7           243.0           179.0               O               O             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             8.8             8.6             8.8   3.53802239629   3.50075686801   3.53827586515             0.0             0.0            0.35            14.0             5.1            0.09            -2.6             0.3
            100            2.32           316.0            82.0               B               I   8.88699351957   8.58035761749   9.09570450897   4.02289170474   3.93559922335   4.11361832373  0.723999954819  0.404908427395   1.08180305719             9.1             9.1             9.1   4.16603186635   4.10871489871    4.1694288919             0.2            0.15            0.25             0.0             0.0             0.0             0.0             0.0
            101            2.14           310.0           201.0               B               M   8.48817745643   8.45130075763   8.53252324423   3.64296797311     3.599548973    3.6905032269 0.0478046317042             0.0  0.155906439877             8.0             7.5             8.0   3.89285105677   3.81872808472   3.89287337959             1.0             1.0            1.15             0.0             0.0             0.0             0.0             0.0
            102            5.06          1550.0          1368.0             IAY               I   6.48876186407   6.41899345907    6.5479380868   3.93399813937   3.79076514037   4.10008036599   1.03158088879  0.945917114959   1.10229719609             7.7             7.7             7.8   4.11791125111   4.11744019328   4.13829772828            1.05            1.05            1.05             0.0             0.0             0.0             0.0             0.0
            103            1.74           208.0           152.0               B               M   8.30931345746   8.19829218363   8.42050382709   3.19737340569   3.10042768651   3.31060497429  0.269515642933 0.0270311257498  0.532612110202             8.2             8.1             8.3   3.41741314788   3.34131509234   3.43876901487            0.65             0.5            0.75             0.0             0.0             0.0             0.0             0.0
            104            1.72           250.0           135.0               B               I   8.57701142596   8.44325244658   8.71022989151   3.44518265388   3.36020101799   3.53721169223  0.302563958167 0.0457019503114  0.560310865731             8.9             8.9             8.9   3.95796766739   3.92569107183   3.95872674691            0.25             0.2            0.25             0.0             0.0             0.0             0.0             0.0
            106             1.4           140.0            57.0               B               I   8.80181939908   8.72895602449   8.88098086103   3.39188948465   3.31429130997   3.47959140808  0.243359481036 0.0897082378026  0.402543328588             9.0             9.0             9.0   3.63157446535   3.63153841101   3.63168741105             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0
            107            2.17           419.0           273.0               B               I   9.10747489464   9.02016953508   9.19444343057   3.94748503391   3.85530905463   4.04914183746  0.124582662631 0.00950882821152  0.246860433851             9.1             9.1             9.1   4.12182560746   4.09183185866   4.16822648942            0.05            0.05            0.15             0.0             0.0             0.0             0.0             0.0
            108            3.24           743.0           435.0               B               M   8.27085905286   7.24205020652   8.64173831333   3.79967299593   3.11851650793   4.06100266494  0.193260118241             0.0  0.411658010757             8.2             8.2             8.2   4.12372822191    4.1236537371   4.15073340464            0.85            0.85             0.9             0.0             0.0             0.0             0.0             0.0
            111            1.74           267.0           194.0            NSMB               M   8.86723876617   8.81284332825   8.92435405409    3.7776366054   3.72238402039   3.83255098006 0.0958085396615             0.0  0.195249533454             7.3             7.2             7.6   3.67585125441   3.65406923556   3.70970682207             2.2             2.1             2.2             0.0             0.0             0.0             0.0             0.0
            112            2.73           318.0           203.0               O               O   9.17900278279   9.08770890139   9.30226054098   4.70379769711    4.6172168468    4.8005322763 0.0633585417065             0.0  0.199808300049             8.8             8.7             8.8   3.31660313543   3.27292990761   3.31660619662             0.0             0.0             0.1            14.0             5.2            0.08            -1.3             0.1
            114            2.33           437.0           263.0               B               I   9.09956820907   8.99059387406   9.19323385044   3.86084478954   3.75896474554   3.96213077044 0.0555129201278             0.0  0.154873623701             9.1             9.1             9.1   4.23364389502   4.23354900907   4.30889084104            0.15            0.15             0.3             0.0             0.0             0.0             0.0             0.0
            115             1.7           183.0            98.0               B               I   8.85735746134   8.80282594755   8.91619254164   3.42838754181   3.36212254622   3.49522400684   0.18194733921 0.0616462487228  0.293890580024             8.9             8.9             8.9   3.68143369998   3.67242506607   3.71019147301             0.0             0.0             0.1             0.0             0.0             0.0             0.0             0.0
            119            1.95           322.0           214.0               B               M   8.47241075048   8.40268668199   8.53988002255   3.53133405442   3.46075856058   3.60188904571  0.102400574942             0.0  0.251393371071             8.2             8.2             8.2   3.70707720978   3.68287181693   3.70715843395             0.7            0.65             0.7             0.0             0.0             0.0             0.0             0.0
