#APID int_logAge_E int_logAge_p16 int_logAge_p84 int_logMass_E int_logMass_p16 int_logMass_p84 int_Av_E int_Av_p16 int_Av_p84 cmd_logAge_best cmd_logAge_p16 cmd_logAge_p50 cmd_logAge_p84 cmd_logMass_best cmd_logMass_p16 cmd_logMass_p50 cmd_logMass_p84 cmd_Av_best cmd_Av_p16 cmd_Av_p50 cmd_Av_p84 N_stars              
           1111   8.34963351909   8.05976951915   8.89362259847   3.38313064293   3.16197088908   3.55439311708   1.20700380224  0.175508516951    1.7712984098             8.2             7.8             8.2             8.8   3.14601804791   2.99312582154    3.1484190803    3.3520343626             1.3             0.4            1.25            1.45           119.0
           1115   8.64741236243   8.54619436497   8.74263832426    3.2238225053   3.12336770764   3.31217328921  0.263436967169 0.0480987940096  0.481407529647             8.4             8.2             8.4             8.5    3.2238911096   3.09460750117   3.18421238576   3.24422653376             0.6            0.45             0.6             0.7           199.0
           1116   8.58080165905   8.44103599947    8.7228846012    2.5157496467   2.36378295968   2.67257780774  0.198902344855             0.0  0.418091963738             8.6             8.5             8.6             8.7   2.91214896753   2.88582012629   2.90725739827   2.92581723104            0.45            0.15            0.35             0.5            54.0
           1118   7.18521397491   6.73853078091   7.57444291463   3.13771152538   3.05228453894   3.25050309228  0.504110813079  0.238183055072  0.758419532988             7.0             6.7             7.0             7.2   2.95378467612   2.93054148273   2.94730131142   2.96036624606            0.55             0.5            0.55             0.6           141.0
           1120   8.73133126409   8.62014575715   8.84229749194   3.55071436086     3.469218929   3.63086746118  0.253308317598 0.0395537114669  0.466955189878             9.1             9.1             9.1             9.2   3.90167813803   3.87364579852   3.92438958885   4.14724003001             0.1             0.0             0.1            0.15           348.0
           1122   8.65965812835   8.52829359124    8.7876743553   2.98384568546   2.90240555191    3.0796678289  0.220727488967 0.0236218526166  0.430729809441             8.8             8.8             8.8             8.9   3.53120879999   3.47712381028   3.50758095802   3.53134945419             0.5            0.25             0.4             0.5           167.0
           1128   8.55658674327   8.47155333172   8.66207758288   2.92296540035   2.83788649651   3.03435955522  0.173101379155 0.0084045076724  0.353260607208             8.4             8.4             8.4             8.4   3.10485238169   3.05268470738   3.10139587009   3.12029908198            0.45            0.35  0.421888491263             0.5           154.0
           1129   8.88250407315   8.81359429532   8.95257335652   3.43975197796   3.37042666553   3.50599981158   0.07843616331             0.0  0.183803926517             9.1             9.0             9.0             9.1   4.05629539444   3.97033891589   4.01368747366   4.05631938616             0.2             0.2            0.25            0.35           349.0
           1130   7.41180405967   7.36736008845   7.44677610417   3.57811701522   3.51475298902    3.6564337322   1.93197319577    1.7900066427   2.05589515773             7.4             7.2             7.4             7.5   3.48568515158   3.44674935735   3.47027747685    3.4891391188             2.0            1.95             2.0            2.05            94.0
           1131   8.01515855998   7.63128022519   8.27577865224   3.27114112176   3.09761218741   3.50286786799  0.598271333448  0.131605521228   1.30059410517             8.1             7.5             8.0             8.2   3.25823187541   3.20970607156    3.2495016822   3.28117463921            0.55            0.55            0.65             0.8           257.0
